GI,Regulators,Regulators2
GI:255767592,sigE,
GI:255767593,sigF,
GI:255767379,sigG,
GI:255767376,sigE,
GI:255767377,sigK,
GI:255767571,sigG,
GI:255767573,spo0A,
GI:16078447,sigE,
GI:16080657,sigK,
GI:16080656,sigK,
GI:16080659,sigE,sigK
GI:16080658,sigE,sigK
GI:16077105,spo0A,
GI:16077965,sigG,
GI:16077967,sigG,
GI:16077966,sigG,
GI:16077962,sigE,
GI:16077968,sigG,
GI:16080722,spo0A,
GI:16080728,sigE,
GI:16077568,spo0A,
GI:255767043,sigE,
GI:16081028,unknown,
GI:16079631,sigF,
GI:16078908,sigE,sigK
GI:16079748,sigG,
GI:255767683,unknown,
GI:16078348,sigK,
GI:16079567,sigE,
GI:16079563,sigG,
GI:16079562,sigE,
GI:16079561,sigE,
GI:16078587,sigE,
GI:16078585,sigE,
GI:16079568,sigG,
GI:16078160,sigE,
GI:16078161,sigG,
GI:16080015,spo0A,
GI:16078197,sigK,
GI:16078766,sigE,sigK
GI:255767812,sigE,
GI:255767742,sigK,
GI:255767219,unknown,
GI:16078216,sigE,
GI:16080233,sigK,
GI:16080230,sigK,
GI:16079398,sigG,
GI:255767582,sigE,
GI:255767587,sigE,
GI:255767364,spo0A,
GI:16077931,sigG,
GI:16080347,sigF,
GI:16077772,sigE,
GI:255767566,sigG,
GI:16079849,sigE,
GI:16077378,sigE,
GI:16077114,sigE,
GI:16077115,sigE,
GI:16077110,sigF,
GI:16077111,sigK,
GI:16077113,sigG,
GI:16080730,sigF,
GI:16079282,sigE,sigK
GI:16077979,sigF,sigG
GI:16079628,sigE,
GI:16079994,sigK,
GI:50812246,sigE,
GI:50812245,sigG,
GI:50812244,sigE,
GI:50812248,sigK,
GI:16078971,sigE,sigK
GI:16079751,sigG,
GI:16079752,sigG,
GI:16080914,sigF,
GI:16078484,sigF,
GI:16078489,sigE,
GI:16078488,spo0A,
GI:16078370,sigK,
GI:16079283,sigK,
GI:16079286,spo0A,
GI:16079029,sigE,
GI:16078573,sigE,
GI:16079570,sigK,
GI:16080009,sigG,
GI:16080002,sigF,
GI:16078394,sigG,
GI:16080635,sigG,
GI:255767828,sigE,
GI:255767829,sigE,
GI:16079376,sigE,
GI:255767821,sigE,
GI:255767773,sigG,
GI:255767774,sigG,
GI:16080137,sigK,
GI:16080138,sigK,
GI:16080139,sigK,
GI:16078159,sigE,sigK
GI:16078158,sigE,sigK
GI:16078629,sigE,
GI:16079520,sigE,
GI:16078623,sigK,
GI:16078155,sigK,
GI:16078154,sigE,sigG
GI:255767178,spo0A,
GI:16079637,spo0A,
GI:16080839,sigK,
GI:16080838,sigK,
GI:255767390,sigK,
GI:255767552,sigG,
GI:255767553,sigF,
GI:16079634,sigF,
GI:16080359,sigF,sigG
GI:255767484,sigE,
GI:16077294,sigE,
GI:16077293,sigE,
GI:16077347,sigE,
GI:16080749,sigE,sigF
GI:16080748,sigE,
GI:16079259,sigG,
GI:16079395,sigG,
GI:16079399,sigG,
GI:16079521,sigF,
GI:16079962,sigE,
GI:16079967,sigK,
GI:50812255,sigG,
GI:50812256,sigG,
GI:50812252,sigK,
GI:16077122,sigF,
GI:50812174,sigF,
GI:16078740,sigK,
GI:16078962,sigE,
GI:16080961,sigE,
GI:16080835,sigE,sigK
GI:16078496,sigE,
GI:16078497,sigE,
GI:16079889,sigE,
GI:16080834,sigE,sigK
GI:16078810,sigE,
GI:16079544,sigG,
GI:16078369,sigG,
GI:16078560,sigF,
GI:16078561,sigK,
GI:16078562,sigK,
GI:16078567,sigE,
GI:16078568,sigE,
GI:16078389,sigK,
GI:16081139,sigG,
GI:16080407,sigG,
GI:16078057,sigE,
GI:16079388,sigE,
GI:16080103,sigE,
GI:16080102,sigE,
GI:16078142,sigF,
GI:255767162,sigG,
GI:16077796,sigK,
GI:255767385,sigK,
GI:255767381,spo0A,
GI:255767545,sigE,
GI:255767544,sigE,
GI:255767546,sigE,
GI:255767548,sigF,
GI:16078606,spo0A,
GI:16080360,sigF,sigG
GI:255767621,sigG,
GI:16077353,sigK,
GI:16077351,spo0A,
GI:16079822,sigE,
GI:16077916,sigF,sigG
GI:16077917,sigF,
GI:16079892,sigK,
GI:16080756,spo0A,
GI:16080750,sigF,
GI:16077932,sigG,
GI:16077758,sigE,
GI:16077759,sigE,
GI:16077756,sigE,
GI:16077622,sigK,
GI:16077623,sigK,
GI:16077620,sigG,
GI:16077621,sigG,
GI:16079890,sigE,
GI:16079977,unknown,
GI:16079608,sigF,sigG
GI:16077132,spo0A,
GI:16077130,sigE,
GI:16077131,sigE,
GI:16078162,sigG,
GI:16078951,spo0A,
GI:16077116,sigE,
GI:255767116,sigE,
GI:16079779,sigK,
GI:16078457,sigG,
GI:16078827,sigE,
GI:16078551,sigE,
GI:16078738,sigK,
GI:16078733,sigE,
GI:16078735,sigE,
GI:16078737,sigE,sigK
GI:16078736,sigK,
GI:255767845,sigE,sigG
GI:16079607,sigE,sigF
GI:16078043,sigE,
GI:16078040,sigG,
GI:16080113,sigK,
GI:16080114,sigK,
GI:16080115,sigF,
GI:16078600,sigE,
GI:16078588,spo0A,sigE
GI:255767715,spo0A,
GI:16080288,sigE,sigK
GI:16081088,sigG,
GI:16081082,spo0A,
GI:16081081,sigE,
GI:16081080,sigE,
GI:255767530,sigE,
GI:255767531,sigE,
GI:255767535,sigF,sigG
GI:16080003,sigF,
GI:255767442,sigG,
GI:16081159,sigE,
GI:16081154,unknown,
GI:16081156,spo0A,
GI:16081153,unknown,
GI:50812196,sigK,
GI:16077388,sigE,sigG
GI:16077928,sigK,
GI:16077438,sigG,
GI:16080766,spo0A,
GI:16079800,sigG,
GI:16077726,unknown,
GI:16080695,sigE,
GI:50812270,spo0A,
GI:16079499,sigE,
GI:16079498,sigE,
GI:16079497,sigE,
GI:16079496,sigE,
GI:16079494,sigE,
GI:16080949,sigE,
GI:16079709,sigK,
GI:255767822,sigE,
GI:16078838,sigG,
GI:16078839,sigG,
GI:16079377,sigE,
GI:16078835,sigE,
GI:16079375,sigE,
GI:16078544,sigG,
GI:16078545,sigE,
GI:16079017,sigE,
GI:16078719,unknown,
GI:16079019,sigK,
GI:16080886,sigE,
GI:16077794,sigK,
GI:16078050,sigE,
GI:16078051,sigE,
GI:16080166,sigK,
GI:16080298,sigE,
GI:255767637,sigE,
GI:255767148,sigE,
GI:18677778,sigF,
GI:255767708,sigE,
GI:255767701,sigG,
GI:255767529,sigE,sigF
GI:255767455,sigG,
GI:255767450,sigE,
GI:16081140,sigG,
GI:16081146,sigE,
GI:16081147,sigF,
GI:16081145,sigE,
GI:16080413,unknown,
GI:16081149,spo0A,
GI:16077439,sigG,
GI:16077936,sigE,
GI:16080773,sigG,
GI:16080770,sigE,
GI:16080771,sigE,
GI:16080577,sigE,sigG
GI:16080578,spo0A,
GI:16079837,sigE,
GI:16079836,sigE,
GI:16080394,sigK,
GI:16079951,sigE,
GI:16079956,sigE,
GI:16079954,unknown,
GI:50812282,sigG,
GI:16080691,spo0A,
GI:16081148,spo0A,
GI:16080950,sigE,
GI:16080798,spo0A,
GI:16077925,sigG,
GI:16078848,spo0A,
GI:16078845,sigK,
GI:16078530,sigK,
GI:16077440,sigG,
GI:16078443,sigK,
GI:16078442,sigK,
GI:16078441,sigE,
GI:16078448,sigE,sigG
GI:16078993,sigE,
GI:16078269,sigE,
GI:16080179,sigK,
GI:16078063,spo0A,
GI:255767739,sigE,
GI:16078298,sigE,
GI:255767280,sigK,
GI:16080317,sigK,
GI:255767634,sigF,sigG
GI:16078987,sigE,
GI:255767462,sigE,
GI:255767464,sigK,
GI:16081131,sigK,
GI:16080400,sigE,
GI:16080401,sigE,
GI:16079820,sigE,
GI:16077079,unknown,
GI:16077070,sigG,
GI:50812290,sigK,
GI:50812294,sigG,
GI:50812298,spo0A,sigE
GI:16081105,sigE,sigK
GI:16079727,sigE,
GI:16078855,spo0A,
GI:255767551,sigG,
GI:16078853,spo0A,
GI:16078520,unknown,
GI:16079035,sigK,
GI:16079034,sigK,
GI:16079036,sigK,
GI:16079031,sigE,
GI:16079030,sigE,
GI:16079033,sigK,
GI:16079032,sigE,
GI:255767638,sigE,sigG
GI:16078293,unknown,
GI:255767870,sigE,
GI:16078986,sigE,
GI:16078456,sigG,
GI:16078985,sigE,
GI:16078988,sigE,
GI:16080141,sigK,
GI:16080140,sigK,
GI:16080143,sigK,
GI:16080142,sigK,
GI:16080144,sigK,
GI:16080147,sigE,
GI:16080146,sigE,
GI:16080149,sigE,
GI:16080148,sigE,
GI:16078276,sigE,
GI:255767199,sigG,
GI:16079309,sigE,
GI:255767801,sigE,
