focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_cca,GPD,Camarillo-Guerrero,18,uvig_106648,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,19,uvig_106842,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,20,uvig_106903,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,21,uvig_108596,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,22,uvig_109397,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,23,uvig_109969,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,24,uvig_110865,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,25,uvig_113960,NA,FALSE
Bs_cca,GPD,Camarillo-Guerrero,26,uvig_114433,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,27,uvig_114503,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,28,uvig_115224,NA,FALSE
Bs_cca,GPD,Camarillo-Guerrero,29,uvig_115227,NA,FALSE
Bs_cca,GPD,Camarillo-Guerrero,30,uvig_115449,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,31,uvig_115455,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,32,uvig_115753,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,33,uvig_117625,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,34,uvig_118026,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,35,uvig_118263,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,36,uvig_118460,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,37,uvig_119204,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,38,uvig_119782,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,39,uvig_12155,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,40,uvig_121668,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,41,uvig_122255,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,42,uvig_122766,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,43,uvig_12281,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,44,uvig_122955,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,45,uvig_124076,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,46,uvig_124308,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,47,uvig_124537,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,48,uvig_125018,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,49,uvig_125459,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,50,uvig_126554,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,51,uvig_127579,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,52,uvig_127667,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,53,uvig_128209,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,54,uvig_129321,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,55,uvig_129685,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,56,uvig_130012,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,57,uvig_130798,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,58,uvig_130899,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,59,uvig_130901,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,60,uvig_131829,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,61,uvig_132414,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,62,uvig_132415,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,63,uvig_133691,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,64,uvig_133860,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,65,uvig_133912,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,66,uvig_134454,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,67,uvig_135033,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,68,uvig_135096,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,69,uvig_135436,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,70,uvig_136214,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,71,uvig_137166,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,72,uvig_137490,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,73,uvig_13770,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,74,uvig_138218,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,75,uvig_14016,NA,NA
Bs_cca,GPD,Camarillo-Guerrero,76,uvig_140329,NA,NA
